title,price,discprice,images
New World, 499.99, 499.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1063730/capsule_sm_120.jpg?t=1626796967"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1063730/capsule_sm_120.jpg?t=1626796967 1x, https://cdn.akamai.steamstatic.com/steam/apps/1063730/capsule_231x87.jpg?t=1626796967 2x""/>]"
New World, 499.99, 499.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1063730/capsule_sm_120.jpg?t=1626796967"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1063730/capsule_sm_120.jpg?t=1626796967 1x, https://cdn.akamai.steamstatic.com/steam/apps/1063730/capsule_231x87.jpg?t=1626796967 2x""/>]"
Death's Door, 290.00, 290.00,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/894020/capsule_sm_120.jpg?t=1626787025"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/894020/capsule_sm_120.jpg?t=1626787025 1x, https://cdn.akamai.steamstatic.com/steam/apps/894020/capsule_231x87.jpg?t=1626787025 2x""/>]"
Red Dead Redemption 2," 1,299.00", 870.33,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1174180/capsule_sm_120.jpg?t=1618851907"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1174180/capsule_sm_120.jpg?t=1618851907 1x, https://cdn.akamai.steamstatic.com/steam/apps/1174180/capsule_231x87.jpg?t=1618851907 2x""/>]"
Grand Theft Auto V: Premium Edition, 284.49, 284.49,"[<img src=""https://cdn.akamai.steamstatic.com/steam/bundles/5699/qipqf90z2z7h4x3i/capsule_sm_120.jpg?t=1611191314"" srcset=""https://cdn.akamai.steamstatic.com/steam/bundles/5699/qipqf90z2z7h4x3i/capsule_sm_120.jpg?t=1611191314 1x, https://cdn.akamai.steamstatic.com/steam/bundles/5699/qipqf90z2z7h4x3i/capsule_231x87.jpg?t=1611191314 2x""/>]"
Hunt: Showdown, 499.00, 249.50,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/594650/capsule_sm_120_alt_assets_14.jpg?t=1626788114"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/594650/capsule_sm_120_alt_assets_14.jpg?t=1626788114 1x, https://cdn.akamai.steamstatic.com/steam/apps/594650/capsule_231x87_alt_assets_14.jpg?t=1626788114 2x""/>]"
Sniper Ghost Warrior Contracts 2, 299.99, 224.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1338770/capsule_sm_120.jpg?t=1625223756"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1338770/capsule_sm_120.jpg?t=1625223756 1x, https://cdn.akamai.steamstatic.com/steam/apps/1338770/capsule_231x87.jpg?t=1625223756 2x""/>]"
Ghost Hunters Corp, 169.99, 169.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1618540/capsule_sm_120.jpg?t=1626592475"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1618540/capsule_sm_120.jpg?t=1626592475 1x, https://cdn.akamai.steamstatic.com/steam/apps/1618540/capsule_231x87.jpg?t=1626592475 2x""/>]"
Sea of Thieves, 399.99, 399.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1172620/capsule_sm_120.jpg?t=1626105172"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1172620/capsule_sm_120.jpg?t=1626105172 1x, https://cdn.akamai.steamstatic.com/steam/apps/1172620/capsule_231x87.jpg?t=1626105172 2x""/>]"
CS:GO Prime Status Upgrade, 304.00, 304.00,"[<img src=""https://cdn.akamai.steamstatic.com/steam/subs/54029/capsule_sm_120.jpg?t=1622831949"" srcset=""https://cdn.akamai.steamstatic.com/steam/subs/54029/capsule_sm_120.jpg?t=1622831949 1x, https://cdn.akamai.steamstatic.com/steam/subs/54029/capsule_231x87.jpg?t=1622831949 2x""/>]"
Rust, 367.99, 367.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/252490/capsule_sm_120.jpg?t=1624541649"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/252490/capsule_sm_120.jpg?t=1624541649 1x, https://cdn.akamai.steamstatic.com/steam/apps/252490/capsule_231x87.jpg?t=1624541649 2x""/>]"
Phasmophobia, 149.99, 149.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/739630/capsule_sm_120.jpg?t=1613740031"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/739630/capsule_sm_120.jpg?t=1613740031 1x, https://cdn.akamai.steamstatic.com/steam/apps/739630/capsule_231x87.jpg?t=1613740031 2x""/>]"
Cris Tales, 649.00, 584.10,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1079830/capsule_sm_120.jpg?t=1626797313"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1079830/capsule_sm_120.jpg?t=1626797313 1x, https://cdn.akamai.steamstatic.com/steam/apps/1079830/capsule_231x87.jpg?t=1626797313 2x""/>]"
Swords of Legends Online, 799.00, 799.00,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1418100/capsule_sm_120.jpg?t=1626799582"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1418100/capsule_sm_120.jpg?t=1626799582 1x, https://cdn.akamai.steamstatic.com/steam/apps/1418100/capsule_231x87.jpg?t=1626799582 2x""/>]"
CARRION, 185.99, 111.59,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/953490/capsule_sm_120.jpg?t=1625777031"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/953490/capsule_sm_120.jpg?t=1625777031 1x, https://cdn.akamai.steamstatic.com/steam/apps/953490/capsule_231x87.jpg?t=1625777031 2x""/>]"
Raft, 179.99, 179.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/648800/capsule_sm_120.jpg?t=1624291260"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/648800/capsule_sm_120.jpg?t=1624291260 1x, https://cdn.akamai.steamstatic.com/steam/apps/648800/capsule_231x87.jpg?t=1624291260 2x""/>]"
GUILTY GEAR -STRIVE-," 1,199.99"," 1,199.99","[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1384160/capsule_sm_120.jpg?t=1625015685"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1384160/capsule_sm_120.jpg?t=1625015685 1x, https://cdn.akamai.steamstatic.com/steam/apps/1384160/capsule_231x87.jpg?t=1625015685 2x""/>]"
Valheim, 185.99, 185.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/892970/capsule_sm_120.jpg?t=1617258628"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/892970/capsule_sm_120.jpg?t=1617258628 1x, https://cdn.akamai.steamstatic.com/steam/apps/892970/capsule_231x87.jpg?t=1617258628 2x""/>]"
